id_llamada,fecha,distrito,duracion_minutes,recursos_desplegados,distancia_km,tipo
96,2025-06-12 16:35:34,Oeste,143,3,9,Accidente
97,2024-10-27 08:11:27,Sur,123,4,13,Fuego
98,2024-10-09 05:51:19,Este,89,1,12,Neutral
99,2025-04-08 01:15:47,Este,8,4,19,Neutral
100,2024-07-06 13:29:55,Centro,75,1,1,Fuego
101,2025-05-30 17:01:34,Norte,158,5,8,Fuego
102,2025-04-26 16:57:46,Centro,115,5,4,Neutral
103,2025-02-17 20:59:35,Norte,54,7,19,Neutral
104,2024-07-18 04:35:42,Este,144,8,5,Accidente
105,2025-05-06 08:30:05,Centro,99,4,17,Accidente
106,2024-08-30 12:21:44,Sur,96,7,3,Neutral
107,2024-11-08 03:56:15,Oeste,69,4,19,Neutral
108,2025-02-12 16:22:01,Norte,51,3,1,Accidente
109,2024-09-13 13:54:52,Oeste,110,6,1,Fuego
110,2025-02-14 11:54:12,Oeste,134,4,9,Fuego
111,2024-11-24 10:44:31,Centro,110,3,5,Neutral
112,2024-12-21 15:25:43,Oeste,28,9,7,Neutral
113,2025-05-08 20:25:40,Sur,8,5,6,Accidente
114,2024-10-26 11:31:06,Oeste,112,7,17,Neutral
115,2024-10-29 01:27:35,Centro,23,6,17,Fuego
116,2025-01-17 20:45:28,Sur,158,5,13,Accidente
117,2025-02-27 11:30:52,Este,44,7,12,Accidente
118,2025-06-02 05:52:22,Oeste,54,6,4,Fuego
119,2024-07-11 18:43:29,Centro,175,2,8,Fuego
120,2024-10-28 04:34:23,Este,79,3,5,Accidente
121,2024-07-07 11:31:46,Este,16,2,5,Neutral
122,2025-03-22 06:45:59,Norte,31,3,13,Fuego
123,2024-08-11 13:13:18,Sur,117,1,11,Accidente
124,2024-09-21 16:06:31,Oeste,53,8,8,Neutral
125,2024-07-29 22:12:56,Centro,148,6,8,Neutral
126,2025-01-11 02:22:28,Norte,134,2,1,Accidente
127,2024-06-23 09:21:53,Sur,64,8,13,Fuego
128,2025-05-09 21:54:53,Norte,34,6,5,Neutral
129,2024-07-01 06:54:42,Sur,88,7,8,Fuego
130,2025-06-10 11:31:48,Sur,170,1,17,Accidente
131,2024-07-28 10:33:00,Oeste,32,7,13,Fuego
132,2024-09-28 16:32:02,Sur,29,3,9,Neutral
133,2024-07-04 18:44:40,Norte,100,8,2,Accidente
134,2025-05-03 17:36:46,Sur,129,6,19,Neutral
135,2024-12-17 14:52:55,Oeste,14,4,17,Neutral
136,2025-01-31 10:03:22,Oeste,46,8,7,Accidente
137,2024-09-19 23:24:09,Norte,44,9,3,Accidente
138,2024-09-19 16:07:56,Este,81,2,19,Fuego
139,2024-07-29 14:49:55,Este,109,6,19,Accidente
140,2024-07-28 11:03:28,Sur,122,5,9,Fuego
141,2024-07-12 06:42:27,Centro,46,5,10,Accidente
142,2025-03-11 16:55:02,Sur,51,3,14,Neutral
143,2024-11-03 13:57:25,Norte,169,8,18,Fuego
144,2025-05-22 16:22:07,Norte,26,8,15,Accidente
145,2025-03-24 13:27:57,Norte,111,5,1,Fuego
146,2025-05-25 19:02:52,Norte,31,8,6,Fuego
147,2024-10-01 14:24:50,Norte,45,8,15,Fuego
148,2024-11-29 04:30:57,Oeste,84,3,6,Neutral
149,2025-01-20 03:42:49,Este,166,2,18,Accidente
150,2025-04-14 04:01:55,Norte,164,9,1,Accidente
151,2025-03-15 06:18:16,Centro,93,2,3,Fuego
152,2024-08-15 00:40:40,Centro,70,9,17,Accidente
153,2025-06-04 12:01:21,Centro,16,4,16,Neutral
154,2024-11-30 21:48:38,Centro,172,2,8,Fuego
155,2024-11-25 12:30:06,Oeste,77,1,17,Neutral
156,2024-11-03 15:04:22,Centro,80,4,8,Neutral
157,2024-11-20 04:03:52,Norte,94,9,17,Accidente
158,2025-03-23 11:07:56,Sur,14,9,9,Accidente
159,2025-06-13 17:11:55,Centro,100,4,12,Fuego
160,2024-09-26 13:04:43,Oeste,24,9,19,Neutral
161,2025-01-14 22:05:38,Oeste,43,6,4,Accidente
162,2024-12-22 09:51:32,Centro,64,1,11,Fuego
163,2024-08-13 21:57:13,Sur,70,6,4,Fuego
164,2025-01-14 07:35:41,Centro,69,9,14,Accidente
165,2025-05-16 22:50:03,Oeste,128,2,14,Neutral
166,2024-11-17 07:58:51,Este,168,6,6,Fuego
167,2025-02-06 22:02:17,Norte,156,2,17,Accidente
168,2025-06-09 20:09:12,Oeste,159,4,2,Fuego
169,2025-03-09 03:45:57,Centro,134,8,8,Accidente
170,2025-01-02 16:14:52,Norte,163,7,4,Fuego
171,2024-11-08 02:50:33,Centro,61,9,10,Neutral
172,2024-08-03 10:59:08,Centro,82,7,7,Fuego
173,2025-04-29 07:27:11,Este,33,1,4,Accidente
174,2025-01-31 06:58:41,Norte,19,2,16,Accidente
175,2024-08-13 06:45:09,Norte,16,6,14,Accidente
176,2024-08-02 01:15:59,Este,105,7,16,Neutral
177,2024-09-10 21:15:10,Oeste,160,3,9,Accidente
178,2024-12-17 15:04:55,Centro,88,9,4,Accidente
179,2024-12-01 21:17:06,Sur,129,7,6,Neutral
180,2024-09-25 00:22:07,Centro,107,6,1,Accidente
181,2025-03-12 23:10:09,Centro,28,6,7,Accidente
182,2025-03-13 00:38:42,Oeste,153,1,1,Neutral
183,2024-11-15 22:17:15,Centro,142,5,19,Fuego
184,2025-04-17 08:13:25,Este,114,3,8,Accidente
185,2025-06-15 22:51:30,Este,82,7,3,Fuego
186,2025-04-09 14:41:54,Norte,105,3,1,Neutral
187,2025-01-15 16:14:50,Sur,150,5,1,Accidente
188,2024-12-09 13:36:07,Centro,146,7,7,Accidente
189,2025-06-10 06:55:38,Centro,166,3,13,Neutral
190,2025-05-28 23:27:19,Oeste,132,2,1,Accidente
191,2024-09-09 18:01:05,Este,62,6,16,Fuego
192,2025-06-06 21:01:30,Sur,80,8,14,Fuego
193,2025-05-08 19:39:46,Norte,154,4,4,Neutral
194,2024-07-15 10:18:00,Este,40,9,12,Accidente
195,2025-03-03 23:30:49,Norte,177,8,12,Accidente
196,2025-03-22 22:19:47,Oeste,168,7,17,Neutral
197,2024-11-04 22:27:58,Oeste,26,7,15,Fuego
198,2025-06-10 19:37:11,Centro,131,3,10,Fuego
199,2025-01-03 06:41:33,Sur,84,6,3,Neutral
200,2025-03-16 22:35:52,Norte,104,5,12,Accidente
201,2024-07-20 18:08:18,Este,100,1,1,Fuego
202,2024-09-24 00:39:24,Oeste,165,3,1,Accidente
203,2025-01-18 17:36:48,Centro,177,1,10,Fuego
204,2024-09-14 00:10:44,Centro,168,4,18,Accidente
205,2024-10-04 14:58:15,Norte,152,3,15,Fuego
206,2024-09-26 13:56:23,Oeste,22,4,2,Accidente
207,2024-07-21 06:11:41,Sur,42,9,17,Neutral
208,2025-03-27 15:24:04,Oeste,155,3,8,Fuego
209,2025-05-12 05:36:49,Norte,113,6,9,Neutral
210,2025-02-20 04:56:52,Norte,127,6,11,Fuego
211,2024-09-08 03:29:51,Oeste,148,7,6,Fuego
212,2025-02-16 00:25:32,Norte,153,9,14,Fuego
213,2024-08-26 06:52:25,Oeste,108,7,1,Accidente
214,2024-09-16 00:57:20,Este,144,1,7,Fuego
215,2025-05-30 20:20:43,Oeste,148,8,9,Neutral
216,2024-10-08 18:25:36,Oeste,85,5,11,Accidente
217,2024-09-04 16:58:48,Norte,91,9,16,Accidente
218,2024-08-05 03:42:27,Norte,146,5,19,Fuego
219,2025-04-13 15:56:31,Centro,65,5,2,Accidente
220,2025-04-08 16:03:21,Centro,50,2,15,Fuego
221,2024-12-12 21:20:45,Este,36,3,3,Neutral
222,2024-06-20 09:46:32,Centro,19,9,4,Accidente
223,2025-02-26 19:17:54,Oeste,48,7,7,Accidente
224,2024-11-08 02:12:04,Norte,149,1,12,Neutral
225,2025-04-15 02:19:04,Centro,173,3,4,Neutral
226,2025-04-26 17:02:48,Centro,58,2,10,Fuego
227,2025-06-17 18:23:48,Este,48,1,6,Accidente
228,2024-09-22 12:08:36,Este,102,9,14,Neutral
229,2024-07-03 20:00:03,Oeste,9,8,3,Accidente
230,2025-02-27 21:35:38,Norte,113,5,17,Neutral
231,2024-12-20 05:35:34,Este,31,2,11,Accidente
232,2025-02-18 02:29:26,Centro,120,1,10,Neutral
233,2025-01-30 22:54:09,Norte,91,7,10,Accidente
234,2024-08-09 12:42:48,Norte,108,2,10,Fuego
235,2025-01-28 15:51:09,Centro,127,1,3,Accidente
236,2024-12-30 04:30:51,Este,83,2,15,Fuego
237,2024-09-06 02:36:48,Centro,47,7,17,Fuego
238,2025-01-08 21:53:22,Norte,101,7,18,Fuego
239,2025-05-10 22:36:27,Sur,35,6,19,Accidente
240,2024-10-23 18:51:39,Sur,103,5,19,Accidente
241,2024-10-17 15:08:11,Oeste,21,3,12,Fuego
242,2024-07-01 03:02:14,Centro,87,3,5,Neutral
243,2025-01-23 15:54:04,Centro,114,9,16,Accidente
244,2024-09-13 19:33:32,Oeste,36,4,15,Accidente
245,2024-08-17 07:15:12,Oeste,172,9,15,Accidente
246,2024-11-14 15:55:35,Oeste,145,4,6,Accidente
247,2024-08-12 11:47:13,Norte,39,2,12,Fuego
248,2024-07-29 10:45:12,Centro,137,4,2,Neutral
249,2024-12-15 19:47:36,Norte,33,6,9,Neutral
250,2024-10-08 07:54:32,Oeste,74,6,4,Neutral
251,2024-08-23 08:21:32,Centro,157,5,5,Neutral
252,2025-03-19 11:01:07,Norte,99,1,8,Fuego
253,2025-05-01 11:08:10,Norte,26,3,10,Accidente
254,2025-06-09 05:13:56,Oeste,177,5,7,Accidente
255,2025-01-14 02:40:48,Centro,73,6,14,Fuego
256,2024-10-24 08:38:33,Oeste,93,1,5,Accidente
257,2025-05-11 10:19:56,Centro,76,9,16,Fuego
258,2025-03-17 08:44:14,Sur,133,3,15,Neutral
259,2024-07-17 23:27:52,Este,176,3,5,Fuego
260,2024-10-10 21:09:34,Este,91,2,3,Accidente
261,2025-02-27 01:22:41,Este,100,8,10,Accidente
262,2025-04-27 19:41:09,Oeste,79,3,5,Accidente
263,2025-01-28 00:48:26,Sur,171,6,15,Neutral
264,2024-08-25 15:21:28,Centro,58,2,18,Fuego
265,2025-02-24 07:56:49,Norte,92,7,8,Fuego
266,2025-06-07 08:14:25,Centro,161,4,2,Accidente
267,2024-09-11 16:03:02,Norte,58,9,8,Fuego
268,2024-06-18 22:40:38,Centro,20,9,8,Accidente
269,2024-10-07 12:07:40,Sur,103,7,4,Fuego
270,2024-09-13 21:58:53,Norte,24,8,19,Neutral
271,2024-08-10 13:58:54,Oeste,50,3,18,Neutral
272,2025-04-01 04:54:31,Centro,131,5,1,Fuego
273,2025-02-05 10:54:13,Centro,62,2,15,Neutral
274,2024-12-07 04:53:25,Norte,115,7,18,Neutral
275,2024-10-14 02:39:40,Oeste,133,8,12,Neutral
276,2024-08-28 21:23:18,Oeste,85,9,1,Accidente
277,2024-07-03 11:47:16,Sur,161,7,7,Fuego
278,2024-10-23 07:00:25,Oeste,88,8,19,Fuego
279,2024-08-18 00:25:33,Oeste,74,9,1,Accidente
280,2025-03-10 17:00:18,Oeste,12,6,7,Accidente
281,2025-01-07 03:52:31,Este,33,2,2,Neutral
282,2025-05-13 18:32:02,Sur,116,2,7,Fuego
283,2024-09-20 03:59:38,Centro,165,4,19,Accidente
284,2025-01-11 17:46:38,Norte,135,9,13,Neutral
285,2025-03-04 11:33:20,Centro,167,7,5,Fuego
286,2024-07-03 14:13:21,Sur,112,2,19,Neutral
287,2025-02-18 01:40:30,Norte,113,8,1,Fuego
288,2025-03-30 17:19:34,Sur,24,7,1,Neutral
289,2024-11-28 01:19:44,Oeste,77,9,18,Fuego
290,2025-04-13 19:21:42,Norte,171,8,1,Fuego
291,2025-03-03 11:14:39,Oeste,8,3,5,Fuego
292,2025-02-16 14:41:01,Centro,23,1,9,Fuego
293,2024-08-27 03:13:41,Centro,106,2,12,Neutral
294,2025-01-11 13:34:28,Norte,177,2,9,Accidente
295,2024-11-02 01:27:13,Norte,175,4,18,Fuego
296,2025-04-02 09:28:52,Sur,145,6,11,Fuego
297,2025-01-06 02:44:38,Sur,145,4,1,Fuego
298,2024-10-10 22:34:52,Oeste,90,9,19,Fuego
299,2025-05-28 20:31:01,Norte,56,4,10,Neutral
300,2025-01-04 08:53:38,Centro,115,6,2,Accidente
301,2025-01-06 15:23:33,Sur,113,6,7,Accidente
302,2024-08-24 01:17:57,Sur,90,1,2,Accidente
303,2024-11-17 12:33:10,Centro,47,8,19,Neutral
304,2024-08-03 23:05:22,Sur,46,3,6,Accidente
305,2024-08-07 01:04:11,Oeste,94,6,10,Neutral
306,2024-12-11 09:13:34,Norte,119,3,9,Neutral
307,2025-01-31 07:38:59,Centro,30,2,8,Fuego
308,2024-08-02 05:49:26,Norte,155,5,11,Neutral
309,2025-02-02 20:22:37,Sur,47,1,9,Accidente
310,2024-11-23 07:30:32,Sur,81,9,9,Accidente
311,2024-07-31 23:48:10,Centro,160,7,8,Accidente
312,2024-11-05 07:10:31,Oeste,141,3,15,Fuego
313,2025-03-01 04:31:36,Este,24,4,2,Fuego
314,2024-11-28 17:52:33,Centro,43,6,1,Fuego
315,2024-09-13 22:41:41,Este,16,3,9,Neutral
316,2024-11-10 23:14:46,Este,15,7,9,Accidente
317,2025-05-09 20:13:12,Oeste,158,6,13,Neutral
318,2024-07-24 09:16:54,Este,46,9,8,Neutral
319,2025-05-06 15:06:54,Este,159,5,5,Accidente
320,2025-02-25 01:30:06,Oeste,15,4,3,Fuego
321,2025-03-19 09:00:58,Este,42,3,4,Accidente
322,2024-10-16 20:50:42,Este,102,1,17,Neutral
323,2024-07-07 00:15:49,Este,175,3,16,Neutral
324,2025-06-09 09:32:43,Centro,23,3,16,Fuego
325,2025-01-03 07:24:38,Centro,138,7,3,Neutral
326,2025-05-17 08:18:37,Centro,178,7,6,Neutral
327,2025-01-31 21:17:18,Oeste,120,1,1,Accidente
328,2025-06-06 00:54:19,Sur,117,3,16,Fuego
329,2025-04-18 05:33:04,Este,174,8,15,Accidente
330,2024-10-09 09:24:39,Este,69,9,7,Accidente
331,2024-08-22 03:49:29,Oeste,103,7,2,Accidente
332,2024-06-22 10:32:44,Este,76,7,10,Neutral
333,2025-03-19 09:19:34,Centro,56,8,15,Neutral
334,2024-09-21 11:02:07,Sur,122,6,6,Fuego
335,2025-05-05 13:07:47,Norte,179,3,2,Neutral
336,2025-03-22 07:37:45,Este,124,1,17,Fuego
337,2024-09-06 04:47:59,Centro,11,7,1,Accidente
338,2024-08-23 09:18:15,Norte,15,1,1,Accidente
339,2024-06-20 21:21:19,Sur,107,1,4,Neutral
340,2024-07-10 00:08:13,Norte,65,9,16,Neutral
341,2025-01-16 02:56:03,Centro,72,7,8,Fuego
342,2025-05-07 09:27:31,Norte,157,4,1,Neutral
343,2025-04-04 03:40:57,Oeste,144,6,19,Neutral
344,2024-11-23 04:32:09,Norte,158,1,11,Neutral
345,2025-01-15 18:27:28,Este,106,7,17,Accidente
346,2025-03-12 10:19:33,Este,114,6,10,Neutral
347,2025-03-03 15:32:53,Oeste,144,4,12,Neutral
348,2025-02-19 17:00:57,Centro,175,7,9,Accidente
349,2025-01-15 13:12:06,Este,55,3,7,Accidente
350,2025-05-24 03:40:55,Sur,121,1,12,Accidente
351,2024-08-05 00:55:59,Este,169,4,15,Accidente
352,2024-06-28 21:16:36,Este,50,3,8,Neutral
353,2024-10-16 05:40:18,Centro,57,1,17,Neutral
354,2024-12-19 00:18:08,Norte,92,2,5,Neutral
355,2025-02-15 19:06:44,Este,125,5,14,Fuego
356,2025-04-14 11:56:07,Oeste,17,8,2,Accidente
357,2024-08-24 19:09:08,Norte,93,1,16,Neutral
358,2025-04-24 14:50:14,Sur,129,4,17,Neutral
359,2024-10-22 04:53:59,Centro,122,4,3,Neutral
360,2025-01-23 01:23:33,Sur,58,5,1,Accidente
361,2025-01-24 21:13:04,Norte,120,7,18,Accidente
362,2025-03-11 18:28:26,Norte,122,8,18,Accidente
363,2024-11-22 23:10:52,Norte,8,6,4,Neutral
364,2024-12-22 07:45:13,Sur,79,1,15,Accidente
365,2024-07-18 20:44:43,Norte,53,7,19,Neutral
366,2024-10-16 21:43:30,Sur,11,3,19,Fuego
367,2025-01-06 13:52:21,Norte,114,6,10,Accidente
368,2024-07-12 19:22:52,Oeste,126,8,5,Accidente
369,2025-04-17 19:06:11,Norte,15,7,19,Neutral
370,2025-02-08 11:18:20,Sur,96,6,11,Accidente
371,2024-09-06 00:41:35,Este,177,9,7,Accidente
372,2025-04-10 04:27:03,Norte,27,9,5,Neutral
373,2024-10-31 09:45:17,Este,32,1,12,Neutral
374,2025-02-05 08:18:26,Oeste,115,1,19,Neutral
375,2025-06-13 02:07:55,Centro,61,1,15,Fuego
376,2025-06-03 06:35:24,Oeste,30,8,12,Neutral
377,2024-06-30 21:47:15,Norte,157,7,4,Accidente
378,2025-03-05 18:24:53,Este,58,3,12,Fuego
379,2024-08-20 04:19:14,Este,33,2,18,Neutral
380,2024-07-29 03:36:08,Sur,101,4,17,Fuego
381,2024-11-05 09:25:21,Este,168,3,19,Fuego
382,2024-11-22 14:10:59,Sur,18,7,16,Accidente
383,2025-03-20 11:23:11,Centro,82,8,11,Fuego
384,2025-04-27 01:23:10,Norte,39,6,2,Neutral
385,2024-10-14 02:27:00,Sur,34,3,16,Fuego
386,2024-08-25 01:25:00,Centro,96,6,1,Fuego
387,2025-05-14 19:36:08,Este,21,2,17,Accidente
388,2025-01-25 09:48:10,Este,162,7,18,Accidente
389,2025-01-21 02:37:26,Centro,97,7,13,Neutral
390,2025-03-26 20:50:55,Este,177,4,5,Accidente
391,2025-06-15 11:15:19,Centro,83,8,6,Neutral
392,2025-02-07 06:40:56,Sur,114,4,1,Neutral
393,2024-10-08 20:33:44,Sur,106,7,10,Accidente
394,2025-01-30 17:42:18,Centro,110,4,5,Fuego
395,2025-05-14 15:36:01,Sur,51,5,1,Accidente
396,2025-03-12 17:00:05,Sur,68,7,11,Fuego
397,2024-12-04 10:12:14,Sur,170,3,7,Fuego
398,2024-09-24 22:24:21,Oeste,68,5,18,Neutral
399,2024-12-04 21:00:38,Norte,91,3,10,Neutral
400,2025-02-12 23:15:10,Este,11,5,15,Accidente
401,2024-12-04 01:03:11,Oeste,26,3,4,Fuego
402,2025-02-20 06:52:29,Sur,85,7,16,Accidente
403,2025-05-05 17:31:32,Centro,173,1,15,Neutral
404,2024-07-06 23:47:56,Sur,78,9,15,Fuego
405,2025-03-03 04:00:50,Norte,142,9,12,Accidente
406,2025-03-11 20:27:09,Sur,139,5,8,Accidente
407,2025-02-23 01:33:07,Centro,129,9,8,Neutral
408,2024-11-12 03:53:11,Norte,54,6,18,Neutral
409,2025-06-05 11:25:50,Sur,56,5,6,Neutral
410,2024-10-13 01:13:36,Norte,165,3,5,Neutral
411,2024-07-28 21:26:59,Este,5,8,2,Accidente
412,2025-04-25 07:36:33,Este,166,4,12,Neutral
413,2024-06-25 04:31:41,Sur,8,3,4,Neutral
414,2025-01-03 13:44:43,Norte,149,6,13,Accidente
415,2024-12-08 13:08:21,Centro,136,8,17,Accidente
416,2024-10-15 04:19:10,Sur,175,9,16,Fuego
417,2025-03-22 15:04:33,Este,8,6,9,Accidente
418,2025-02-13 22:15:49,Este,5,5,1,Fuego
419,2024-08-11 07:20:52,Sur,75,2,15,Neutral
420,2025-06-06 17:51:58,Norte,39,2,12,Fuego
421,2024-11-18 04:05:54,Este,12,9,5,Fuego
422,2024-07-17 20:10:28,Norte,156,2,18,Neutral
423,2024-11-14 08:50:37,Este,40,2,2,Neutral
424,2025-02-03 20:46:13,Este,127,3,4,Neutral
425,2025-04-01 10:43:52,Oeste,47,3,15,Fuego
426,2024-08-19 23:06:24,Este,31,4,6,Accidente
427,2025-05-02 18:36:38,Centro,36,7,12,Accidente
428,2024-06-20 14:06:16,Sur,82,9,18,Accidente
429,2024-12-20 02:50:48,Sur,125,2,4,Neutral
430,2024-10-28 20:31:59,Norte,150,4,1,Neutral
431,2024-11-07 20:14:05,Este,160,9,15,Accidente
432,2024-11-26 14:53:30,Centro,161,2,18,Neutral
433,2024-12-10 11:26:50,Norte,20,1,14,Fuego
434,2024-09-13 08:48:31,Oeste,103,8,3,Fuego
435,2024-09-14 00:35:56,Norte,51,9,15,Neutral
436,2025-05-09 02:15:50,Norte,35,7,5,Accidente
437,2024-08-30 07:26:03,Este,8,8,3,Accidente
438,2024-07-18 08:38:14,Oeste,169,4,7,Fuego
439,2025-03-30 14:41:09,Norte,21,4,6,Neutral
440,2025-05-23 11:05:15,Centro,43,2,1,Accidente
441,2025-01-21 19:10:59,Centro,52,8,19,Accidente
442,2024-10-29 06:47:43,Sur,178,2,7,Neutral
443,2024-07-03 18:01:03,Oeste,43,9,4,Neutral
444,2025-03-15 18:19:50,Oeste,136,4,12,Accidente
445,2025-02-21 03:38:45,Sur,34,1,18,Neutral
446,2024-12-19 02:18:11,Norte,162,4,9,Neutral
447,2024-12-12 23:06:48,Oeste,26,3,19,Neutral
448,2025-01-05 16:15:44,Centro,70,6,4,Accidente
449,2025-03-10 13:01:57,Centro,112,7,1,Fuego
450,2025-02-28 07:11:54,Este,16,8,9,Neutral
451,2024-10-14 23:54:19,Oeste,40,2,15,Accidente
452,2025-03-05 13:15:01,Norte,22,6,8,Fuego
453,2024-11-17 16:19:51,Sur,94,6,15,Accidente
454,2024-12-08 23:28:04,Sur,5,5,15,Accidente
455,2024-07-02 00:47:01,Norte,131,7,18,Accidente
456,2024-07-03 04:58:40,Este,94,3,7,Fuego
457,2025-02-27 15:43:59,Sur,91,4,18,Accidente
458,2024-11-03 10:20:13,Oeste,94,9,16,Fuego
459,2025-05-21 08:07:42,Este,138,4,2,Neutral
460,2024-09-19 01:50:28,Oeste,74,3,4,Fuego
461,2024-07-06 17:50:40,Centro,48,2,16,Accidente
462,2025-02-05 02:47:13,Este,156,5,3,Fuego
463,2025-03-31 21:54:54,Sur,90,4,2,Accidente
464,2024-08-23 10:14:31,Este,23,8,3,Neutral
