id_llamada;fecha;distrito;duracion_minutes;recursos_desplegados;distancia_km;tipo;Accidente;Neutral;Fuego
153;4/06/2025 12:01;Centro;16;4;16;Neutral;0;1;0
154;30/11/2024 21:48;Centro;172;2;8;Fuego;0;0;1
155;25/11/2024 12:30;Oeste;77;1;17;Neutral;0;1;0
156;3/11/2024 15:04;Centro;80;4;8;Neutral;0;1;0
157;20/11/2024 4:03;Norte;94;9;17;Accidente;1;0;0
158;23/03/2025 11:07;Sur;14;9;9;Accidente;1;0;0
159;13/06/2025 17:11;Centro;100;4;12;Fuego;0;0;1
160;26/09/2024 13:04;Oeste;24;9;19;Neutral;0;1;0
161;14/01/2025 22:05;Oeste;43;6;4;Accidente;1;0;0
162;22/12/2024 9:51;Centro;64;1;11;Fuego;0;0;1
163;13/08/2024 21:57;Sur;70;6;4;Fuego;0;0;1
164;14/01/2025 7:35;Centro;69;9;14;Accidente;1;0;0
165;16/05/2025 22:50;Oeste;128;2;14;Neutral;0;1;0
166;17/11/2024 7:58;Este;168;6;6;Fuego;0;0;1
167;6/02/2025 22:02;Norte;156;2;17;Accidente;1;0;0
168;9/06/2025 20:09;Oeste;159;4;2;Fuego;0;0;1
169;9/03/2025 3:45;Centro;134;8;8;Accidente;1;0;0
170;2/01/2025 16:14;Norte;163;7;4;Fuego;0;0;1
171;8/11/2024 2:50;Centro;61;9;10;Neutral;0;1;0
172;3/08/2024 10:59;Centro;82;7;7;Fuego;0;0;1
173;29/04/2025 7:27;Este;33;1;4;Accidente;1;0;0
174;31/01/2025 6:58;Norte;19;2;16;Accidente;1;0;0
175;13/08/2024 6:45;Norte;16;6;14;Accidente;1;0;0
176;2/08/2024 1:15;Este;105;7;16;Neutral;0;1;0
177;10/09/2024 21:15;Oeste;160;3;9;Accidente;1;0;0
178;17/12/2024 15:04;Centro;88;9;4;Accidente;1;0;0
179;1/12/2024 21:17;Sur;129;7;6;Neutral;0;1;0
180;25/09/2024 0:22;Centro;107;6;1;Accidente;1;0;0
181;12/03/2025 23:10;Centro;28;6;7;Accidente;1;0;0
182;13/03/2025 0:38;Oeste;153;1;1;Neutral;0;1;0
183;15/11/2024 22:17;Centro;142;5;19;Fuego;0;0;1
184;17/04/2025 8:13;Este;114;3;8;Accidente;1;0;0
185;15/06/2025 22:51;Este;82;7;3;Fuego;0;0;1
186;9/04/2025 14:41;Norte;105;3;1;Neutral;0;1;0
187;15/01/2025 16:14;Sur;150;5;1;Accidente;1;0;0
188;9/12/2024 13:36;Centro;146;7;7;Accidente;1;0;0
189;10/06/2025 6:55;Centro;166;3;13;Neutral;0;1;0
190;28/05/2025 23:27;Oeste;132;2;1;Accidente;1;0;0
191;9/09/2024 18:01;Este;62;6;16;Fuego;0;0;1
192;6/06/2025 21:01;Sur;80;8;14;Fuego;0;0;1
193;8/05/2025 19:39;Norte;154;4;4;Neutral;0;1;0
194;15/07/2024 10:18;Este;40;9;12;Accidente;1;0;0
195;3/03/2025 23:30;Norte;177;8;12;Accidente;1;0;0
196;22/03/2025 22:19;Oeste;168;7;17;Neutral;0;1;0
197;4/11/2024 22:27;Oeste;26;7;15;Fuego;0;0;1
198;10/06/2025 19:37;Centro;131;3;10;Fuego;0;0;1
199;3/01/2025 6:41;Sur;84;6;3;Neutral;0;1;0
200;16/03/2025 22:35;Norte;104;5;12;Accidente;1;0;0
201;20/07/2024 18:08;Este;100;1;1;Fuego;0;0;1
202;24/09/2024 0:39;Oeste;165;3;1;Accidente;1;0;0
203;18/01/2025 17:36;Centro;177;1;10;Fuego;0;0;1
204;14/09/2024 0:10;Centro;168;4;18;Accidente;1;0;0
205;4/10/2024 14:58;Norte;152;3;15;Fuego;0;0;1
206;26/09/2024 13:56;Oeste;22;4;2;Accidente;1;0;0
207;21/07/2024 6:11;Sur;42;9;17;Neutral;0;1;0
208;27/03/2025 15:24;Oeste;155;3;8;Fuego;0;0;1
209;12/05/2025 5:36;Norte;113;6;9;Neutral;0;1;0
210;20/02/2025 4:56;Norte;127;6;11;Fuego;0;0;1
211;8/09/2024 3:29;Oeste;148;7;6;Fuego;0;0;1
212;16/02/2025 0:25;Norte;153;9;14;Fuego;0;0;1
213;26/08/2024 6:52;Oeste;108;7;1;Accidente;1;0;0
214;16/09/2024 0:57;Este;144;1;7;Fuego;0;0;1
215;30/05/2025 20:20;Oeste;148;8;9;Neutral;0;1;0
216;8/10/2024 18:25;Oeste;85;5;11;Accidente;1;0;0
217;4/09/2024 16:58;Norte;91;9;16;Accidente;1;0;0
218;5/08/2024 3:42;Norte;146;5;19;Fuego;0;0;1
219;13/04/2025 15:56;Centro;65;5;2;Accidente;1;0;0
220;8/04/2025 16:03;Centro;50;2;15;Fuego;0;0;1
221;12/12/2024 21:20;Este;36;3;3;Neutral;0;1;0
222;20/06/2024 9:46;Centro;19;9;4;Accidente;1;0;0
223;26/02/2025 19:17;Oeste;48;7;7;Accidente;1;0;0
224;8/11/2024 2:12;Norte;149;1;12;Neutral;0;1;0
225;15/04/2025 2:19;Centro;173;3;4;Neutral;0;1;0
226;26/04/2025 17:02;Centro;58;2;10;Fuego;0;0;1
227;17/06/2025 18:23;Este;48;1;6;Accidente;1;0;0
228;22/09/2024 12:08;Este;102;9;14;Neutral;0;1;0
229;3/07/2024 20:00;Oeste;9;8;3;Accidente;1;0;0
230;27/02/2025 21:35;Norte;113;5;17;Neutral;0;1;0
231;20/12/2024 5:35;Este;31;2;11;Accidente;1;0;0
232;18/02/2025 2:29;Centro;120;1;10;Neutral;0;1;0
233;30/01/2025 22:54;Norte;91;7;10;Accidente;1;0;0
234;9/08/2024 12:42;Norte;108;2;10;Fuego;0;0;1
235;28/01/2025 15:51;Centro;127;1;3;Accidente;1;0;0
236;30/12/2024 4:30;Este;83;2;15;Fuego;0;0;1
237;6/09/2024 2:36;Centro;47;7;17;Fuego;0;0;1
238;8/01/2025 21:53;Norte;101;7;18;Fuego;0;0;1
239;10/05/2025 22:36;Sur;35;6;19;Accidente;1;0;0
240;23/10/2024 18:51;Sur;103;5;19;Accidente;1;0;0
241;17/10/2024 15:08;Oeste;21;3;12;Fuego;0;0;1
242;1/07/2024 3:02;Centro;87;3;5;Neutral;0;1;0
243;23/01/2025 15:54;Centro;114;9;16;Accidente;1;0;0
244;13/09/2024 19:33;Oeste;36;4;15;Accidente;1;0;0
245;17/08/2024 7:15;Oeste;172;9;15;Accidente;1;0;0
246;14/11/2024 15:55;Oeste;145;4;6;Accidente;1;0;0
247;12/08/2024 11:47;Norte;39;2;12;Fuego;0;0;1
248;29/07/2024 10:45;Centro;137;4;2;Neutral;0;1;0
249;15/12/2024 19:47;Norte;33;6;9;Neutral;0;1;0
250;8/10/2024 7:54;Oeste;74;6;4;Neutral;0;1;0
251;23/08/2024 8:21;Centro;157;5;5;Neutral;0;1;0
252;19/03/2025 11:01;Norte;99;1;8;Fuego;0;0;1
253;1/05/2025 11:08;Norte;26;3;10;Accidente;1;0;0
254;9/06/2025 5:13;Oeste;177;5;7;Accidente;1;0;0
255;14/01/2025 2:40;Centro;73;6;14;Fuego;0;0;1
256;24/10/2024 8:38;Oeste;93;1;5;Accidente;1;0;0
257;11/05/2025 10:19;Centro;76;9;16;Fuego;0;0;1
258;17/03/2025 8:44;Sur;133;3;15;Neutral;0;1;0
259;17/07/2024 23:27;Este;176;3;5;Fuego;0;0;1
260;10/10/2024 21:09;Este;91;2;3;Accidente;1;0;0
261;27/02/2025 1:22;Este;100;8;10;Accidente;1;0;0
262;27/04/2025 19:41;Oeste;79;3;5;Accidente;1;0;0
263;28/01/2025 0:48;Sur;171;6;15;Neutral;0;1;0
264;25/08/2024 15:21;Centro;58;2;18;Fuego;0;0;1
265;24/02/2025 7:56;Norte;92;7;8;Fuego;0;0;1
266;7/06/2025 8:14;Centro;161;4;2;Accidente;1;0;0
267;11/09/2024 16:03;Norte;58;9;8;Fuego;0;0;1
268;18/06/2024 22:40;Centro;20;9;8;Accidente;1;0;0
269;7/10/2024 12:07;Sur;103;7;4;Fuego;0;0;1
270;13/09/2024 21:58;Norte;24;8;19;Neutral;0;1;0
271;10/08/2024 13:58;Oeste;50;3;18;Neutral;0;1;0
272;1/04/2025 4:54;Centro;131;5;1;Fuego;0;0;1
273;5/02/2025 10:54;Centro;62;2;15;Neutral;0;1;0
274;7/12/2024 4:53;Norte;115;7;18;Neutral;0;1;0
275;14/10/2024 2:39;Oeste;133;8;12;Neutral;0;1;0
276;28/08/2024 21:23;Oeste;85;9;1;Accidente;1;0;0
277;3/07/2024 11:47;Sur;161;7;7;Fuego;0;0;1
278;23/10/2024 7:00;Oeste;88;8;19;Fuego;0;0;1
279;18/08/2024 0:25;Oeste;74;9;1;Accidente;1;0;0
280;10/03/2025 17:00;Oeste;12;6;7;Accidente;1;0;0
281;7/01/2025 3:52;Este;33;2;2;Neutral;0;1;0
282;13/05/2025 18:32;Sur;116;2;7;Fuego;0;0;1
283;20/09/2024 3:59;Centro;165;4;19;Accidente;1;0;0
284;11/01/2025 17:46;Norte;135;9;13;Neutral;0;1;0
285;4/03/2025 11:33;Centro;167;7;5;Fuego;0;0;1
286;3/07/2024 14:13;Sur;112;2;19;Neutral;0;1;0
287;18/02/2025 1:40;Norte;113;8;1;Fuego;0;0;1
288;30/03/2025 17:19;Sur;24;7;1;Neutral;0;1;0
289;28/11/2024 1:19;Oeste;77;9;18;Fuego;0;0;1
290;13/04/2025 19:21;Norte;171;8;1;Fuego;0;0;1
291;3/03/2025 11:14;Oeste;8;3;5;Fuego;0;0;1
292;16/02/2025 14:41;Centro;23;1;9;Fuego;0;0;1
293;27/08/2024 3:13;Centro;106;2;12;Neutral;0;1;0
294;11/01/2025 13:34;Norte;177;2;9;Accidente;1;0;0
295;2/11/2024 1:27;Norte;175;4;18;Fuego;0;0;1
296;2/04/2025 9:28;Sur;145;6;11;Fuego;0;0;1
297;6/01/2025 2:44;Sur;145;4;1;Fuego;0;0;1
298;10/10/2024 22:34;Oeste;90;9;19;Fuego;0;0;1
299;28/05/2025 20:31;Norte;56;4;10;Neutral;0;1;0
300;4/01/2025 8:53;Centro;115;6;2;Accidente;1;0;0
301;6/01/2025 15:23;Sur;113;6;7;Accidente;1;0;0
302;24/08/2024 1:17;Sur;90;1;2;Accidente;1;0;0
303;17/11/2024 12:33;Centro;47;8;19;Neutral;0;1;0
304;3/08/2024 23:05;Sur;46;3;6;Accidente;1;0;0
305;7/08/2024 1:04;Oeste;94;6;10;Neutral;0;1;0
306;11/12/2024 9:13;Norte;119;3;9;Neutral;0;1;0
307;31/01/2025 7:38;Centro;30;2;8;Fuego;0;0;1
308;2/08/2024 5:49;Norte;155;5;11;Neutral;0;1;0
309;2/02/2025 20:22;Sur;47;1;9;Accidente;1;0;0
310;23/11/2024 7:30;Sur;81;9;9;Accidente;1;0;0
311;31/07/2024 23:48;Centro;160;7;8;Accidente;1;0;0
312;5/11/2024 7:10;Oeste;141;3;15;Fuego;0;0;1
313;1/03/2025 4:31;Este;24;4;2;Fuego;0;0;1
314;28/11/2024 17:52;Centro;43;6;1;Fuego;0;0;1
315;13/09/2024 22:41;Este;16;3;9;Neutral;0;1;0
316;10/11/2024 23:14;Este;15;7;9;Accidente;1;0;0
317;9/05/2025 20:13;Oeste;158;6;13;Neutral;0;1;0
318;24/07/2024 9:16;Este;46;9;8;Neutral;0;1;0
319;6/05/2025 15:06;Este;159;5;5;Accidente;1;0;0
320;25/02/2025 1:30;Oeste;15;4;3;Fuego;0;0;1
321;19/03/2025 9:00;Este;42;3;4;Accidente;1;0;0
322;16/10/2024 20:50;Este;102;1;17;Neutral;0;1;0
323;7/07/2024 0:15;Este;175;3;16;Neutral;0;1;0
324;9/06/2025 9:32;Centro;23;3;16;Fuego;0;0;1
325;3/01/2025 7:24;Centro;138;7;3;Neutral;0;1;0
326;17/05/2025 8:18;Centro;178;7;6;Neutral;0;1;0
327;31/01/2025 21:17;Oeste;120;1;1;Accidente;1;0;0
328;6/06/2025 0:54;Sur;117;3;16;Fuego;0;0;1
329;18/04/2025 5:33;Este;174;8;15;Accidente;1;0;0
330;9/10/2024 9:24;Este;69;9;7;Accidente;1;0;0
331;22/08/2024 3:49;Oeste;103;7;2;Accidente;1;0;0
332;22/06/2024 10:32;Este;76;7;10;Neutral;0;1;0
333;19/03/2025 9:19;Centro;56;8;15;Neutral;0;1;0
334;21/09/2024 11:02;Sur;122;6;6;Fuego;0;0;1
335;5/05/2025 13:07;Norte;179;3;2;Neutral;0;1;0
336;22/03/2025 7:37;Este;124;1;17;Fuego;0;0;1
337;6/09/2024 4:47;Centro;11;7;1;Accidente;1;0;0
338;23/08/2024 9:18;Norte;15;1;1;Accidente;1;0;0
339;20/06/2024 21:21;Sur;107;1;4;Neutral;0;1;0
340;10/07/2024 0:08;Norte;65;9;16;Neutral;0;1;0
341;16/01/2025 2:56;Centro;72;7;8;Fuego;0;0;1
342;7/05/2025 9:27;Norte;157;4;1;Neutral;0;1;0
343;4/04/2025 3:40;Oeste;144;6;19;Neutral;0;1;0
344;23/11/2024 4:32;Norte;158;1;11;Neutral;0;1;0
345;15/01/2025 18:27;Este;106;7;17;Accidente;1;0;0
346;12/03/2025 10:19;Este;114;6;10;Neutral;0;1;0
347;3/03/2025 15:32;Oeste;144;4;12;Neutral;0;1;0
348;19/02/2025 17:00;Centro;175;7;9;Accidente;1;0;0
349;15/01/2025 13:12;Este;55;3;7;Accidente;1;0;0
350;24/05/2025 3:40;Sur;121;1;12;Accidente;1;0;0
351;5/08/2024 0:55;Este;169;4;15;Accidente;1;0;0
352;28/06/2024 21:16;Este;50;3;8;Neutral;0;1;0
353;16/10/2024 5:40;Centro;57;1;17;Neutral;0;1;0
354;19/12/2024 0:18;Norte;92;2;5;Neutral;0;1;0
355;15/02/2025 19:06;Este;125;5;14;Fuego;0;0;1
356;14/04/2025 11:56;Oeste;17;8;2;Accidente;1;0;0
357;24/08/2024 19:09;Norte;93;1;16;Neutral;0;1;0
358;24/04/2025 14:50;Sur;129;4;17;Neutral;0;1;0
359;22/10/2024 4:53;Centro;122;4;3;Neutral;0;1;0
360;23/01/2025 1:23;Sur;58;5;1;Accidente;1;0;0
361;24/01/2025 21:13;Norte;120;7;18;Accidente;1;0;0
362;11/03/2025 18:28;Norte;122;8;18;Accidente;1;0;0
363;22/11/2024 23:10;Norte;8;6;4;Neutral;0;1;0
364;22/12/2024 7:45;Sur;79;1;15;Accidente;1;0;0
365;18/07/2024 20:44;Norte;53;7;19;Neutral;0;1;0
366;16/10/2024 21:43;Sur;11;3;19;Fuego;0;0;1
367;6/01/2025 13:52;Norte;114;6;10;Accidente;1;0;0
368;12/07/2024 19:22;Oeste;126;8;5;Accidente;1;0;0
369;17/04/2025 19:06;Norte;15;7;19;Neutral;0;1;0
370;8/02/2025 11:18;Sur;96;6;11;Accidente;1;0;0
371;6/09/2024 0:41;Este;177;9;7;Accidente;1;0;0
372;10/04/2025 4:27;Norte;27;9;5;Neutral;0;1;0
373;31/10/2024 9:45;Este;32;1;12;Neutral;0;1;0
374;5/02/2025 8:18;Oeste;115;1;19;Neutral;0;1;0
375;13/06/2025 2:07;Centro;61;1;15;Fuego;0;0;1
376;3/06/2025 6:35;Oeste;30;8;12;Neutral;0;1;0
377;30/06/2024 21:47;Norte;157;7;4;Accidente;1;0;0
378;5/03/2025 18:24;Este;58;3;12;Fuego;0;0;1
379;20/08/2024 4:19;Este;33;2;18;Neutral;0;1;0
380;29/07/2024 3:36;Sur;101;4;17;Fuego;0;0;1
381;5/11/2024 9:25;Este;168;3;19;Fuego;0;0;1
382;22/11/2024 14:10;Sur;18;7;16;Accidente;1;0;0
383;20/03/2025 11:23;Centro;82;8;11;Fuego;0;0;1
384;27/04/2025 1:23;Norte;39;6;2;Neutral;0;1;0
385;14/10/2024 2:27;Sur;34;3;16;Fuego;0;0;1
386;25/08/2024 1:25;Centro;96;6;1;Fuego;0;0;1
387;14/05/2025 19:36;Este;21;2;17;Accidente;1;0;0
388;25/01/2025 9:48;Este;162;7;18;Accidente;1;0;0
389;21/01/2025 2:37;Centro;97;7;13;Neutral;0;1;0
390;26/03/2025 20:50;Este;177;4;5;Accidente;1;0;0
391;15/06/2025 11:15;Centro;83;8;6;Neutral;0;1;0
392;7/02/2025 6:40;Sur;114;4;1;Neutral;0;1;0
393;8/10/2024 20:33;Sur;106;7;10;Accidente;1;0;0
394;30/01/2025 17:42;Centro;110;4;5;Fuego;0;0;1
395;14/05/2025 15:36;Sur;51;5;1;Accidente;1;0;0
396;12/03/2025 17:00;Sur;68;7;11;Fuego;0;0;1
397;4/12/2024 10:12;Sur;170;3;7;Fuego;0;0;1
398;24/09/2024 22:24;Oeste;68;5;18;Neutral;0;1;0
399;4/12/2024 21:00;Norte;91;3;10;Neutral;0;1;0
400;12/02/2025 23:15;Este;11;5;15;Accidente;1;0;0
401;4/12/2024 1:03;Oeste;26;3;4;Fuego;0;0;1
402;20/02/2025 6:52;Sur;85;7;16;Accidente;1;0;0
403;5/05/2025 17:31;Centro;173;1;15;Neutral;0;1;0
404;6/07/2024 23:47;Sur;78;9;15;Fuego;0;0;1
405;3/03/2025 4:00;Norte;142;9;12;Accidente;1;0;0
406;11/03/2025 20:27;Sur;139;5;8;Accidente;1;0;0
407;23/02/2025 1:33;Centro;129;9;8;Neutral;0;1;0
408;12/11/2024 3:53;Norte;54;6;18;Neutral;0;1;0
